variavel: Rural;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
caminho: /Energia Elétrica/Consumo/Rural;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fonte: Distribuidoras de Energia Elétrica do Rio Grande do Sul.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
agrupador: Município;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
descricao: ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Unidades;MWh;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Município;ibge;latitude;longitude;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Carlos Gomes;4304853;-27,7167;-51,9121;-;-;366;463;484;537;584;617;605;669;650;686;661;660;697;707;780;803;813;822;869;868;875;959;914;820;865;903
Casca;4304903;-28,5605;-51,9815;3.468;4.093;4.201;4.530;5.014;5.608;5.873;6.442;6.946;7.656;7.952;8.628;8.382;8.922;9.397;10.340;10.984;11.983;11.999;12.613;13.045;13.658;14.037;14.713;14.999;15.881;16.111;14.562
Caseiros;4304952;-28,2582;-51,6861;312;369;1.144;1.369;1.490;948;718;524;631;708;670;844;724;1.102;1.678;939;1.017;1.069;1.170;1.141;1.341;1.345;1.437;1.705;1.801;2.001;2.062;2.141
Catuípe;4305009;-28,2554;-54,0132;4.821;4.787;5.079;5.359;5.660;5.795;6.167;6.733;7.227;3.314;3.046;3.263;2.426;1.950;1.339;315;262;229;245;246;243;265;279;459;410;429;488;578
Caxias do Sul;4305108;-29,1629;-51,1792;11.725;14.970;17.308;19.080;21.568;21.823;21.773;21.660;22.674;25.662;23.161;24.149;22.755;25.585;27.623;25.948;29.960;30.599;28.253;28.288;28.978;31.699;31.467;34.052;33.145;31.975;39.542;38.913
Centenário;4305116;-27,7616;-51,9984;-;-;546;705;724;827;917;958;1.000;1.025;1.051;1.118;1.080;1.103;1.174;1.172;1.277;1.296;1.329;1.316;1.338;1.416;1.382;1.508;1.531;1.454;1.593;1.620
Cerrito;4305124;-31,8419;-52,8004;-;-;-;-;-;-;1.212;1.682;2.040;2.212;2.079;2.246;2.155;2.518;2.476;2.581;2.724;2.791;2.874;3.095;3.259;3.208;2.950;2.997;2.846;2.426;2.638;2.515
Cerro Branco;4305132;-29,657;-52,9406;...;2;7;2;12;25;26;29;40;48;50;59;67;71;84;93;89;91;99;107;106;104;110;126;114;104;116;121
Cerro Grande;4305157;-27,6106;-53,1672;-;-;13;24;31;39;39;31;31;43;42;47;44;49;53;54;50;50;53;50;49;57;47;50;48;45;47;45
Cerro Grande do Sul;4305173;-30,5905;-51,7418;721;816;841;787;873;900;1.144;1.292;1.573;1.832;2.247;2.514;2.734;3.152;3.375;3.257;3.305;3.326;3.303;3.409;3.773;3.795;3.932;4.367;4.162;4.150;5.104;5.033
